Date - Time,Lat,Long,Depth,Mag,Location,
28 December 2019 - 07:30 AM,10.24,126.06,24,2.7,024 km N 02° W of Burgos (Surigao Del Norte),
28 December 2019 - 07:15 AM,6.57,125.22,20,2.4,010 km S 05° E of Kiblawan (Davao Del Sur),
28 December 2019 - 06:14 AM,6.69,124.87,25,3,008 km S 60° E of Buluan (Maguindanao),
28 December 2019 - 05:56 AM,9.39,122.18,2,2.1,040 km S 63° W of Hinoba-an (Negros Occidental),
28 December 2019 - 05:37 AM,6.66,125.27,30,1.9,006 km N 81° E of Kiblawan (Davao Del Sur),
28 December 2019 - 05:24 AM,10.17,126.05,15,3.5,017 km N 08° W of Burgos (Surigao Del Norte),
28 December 2019 - 04:44 AM,6.61,125.2,12,2.2,005 km S 17° W of Kiblawan (Davao Del Sur),
28 December 2019 - 04:03 AM,6.68,125.18,14,2.4,005 km N 57° W of Kiblawan (Davao Del Sur),
28 December 2019 - 02:36 AM,6.63,125.2,33,1.8,003 km S 34° W of Kiblawan (Davao Del Sur),
28 December 2019 - 02:23 AM,8.71,127.46,57,3.3,130 km S 80° E of Cagwait (Surigao Del Sur),
28 December 2019 - 02:12 AM,6.55,125.27,20,2.3,013 km S 29° E of Kiblawan (Davao Del Sur),
28 December 2019 - 01:35 AM,17.26,120.01,1,2.2,047 km N 81° W of Candon City (Ilocos Sur),
28 December 2019 - 01:27 AM,7.37,125.74,3,2.4,007 km S 65° W of Tagum City (Davao Del Norte),
28 December 2019 - 01:24 AM,9.7,124.82,9,2.6,028 km S 79° E of Anda (Bohol),
28 December 2019 - 12:18 AM,14.28,122.73,13,1.7,004 km S 77° E of Jose Panganiban (Camarines Norte),
27 December 2019 - 11:58 PM,6.6,125.13,32,2.5,011 km S 56° W of Kiblawan (Davao Del Sur),
27 December 2019 - 11:41 PM,13.54,124.3,22,2,009 km S 58° E of Virac (Catanduanes),
27 December 2019 - 11:29 PM,6.42,124.94,16,2.6,009 km N 06° W of Tupi (South Cotabato),
27 December 2019 - 11:03 PM,6.9,125.01,20,2.1,011 km S 51° W of Makilala (Cotabato),
27 December 2019 - 10:29 PM,8.19,123.55,38,2.1,042 km N 16° E of Pagadian City,
27 December 2019 - 10:18 PM,12.92,124.59,8,3,036 km N 44° E of Biri (Northern Samar),
27 December 2019 - 10:01 PM,9.77,126.21,18,1.6,006 km S 78° E of General Luna (Surigao Del Norte),
27 December 2019 - 09:53 PM,6.71,125.21,18,2.3,000 km N 65° W of Magsaysay (Davao Del Sur),
27 December 2019 - 09:48 PM,8.42,126.16,130,2.2,005 km S 06° E of Tagbina (Surigao Del Sur),
27 December 2019 - 09:32 PM,9.36,125.96,1,1.5,002 km S 31° E of Carrascal (Surigao Del Sur),
27 December 2019 - 09:19 PM,9.31,125.93,12,1.8,006 km S 63° W of Cantilan (Surigao Del Sur),
27 December 2019 - 09:12 PM,9.89,126.57,9,2.2,047 km N 75° E of General Luna (Surigao Del Norte),
27 December 2019 - 08:51 PM,8.07,125.91,24,2,005 km S 77° W of Veruela (Agusan Del Sur),
27 December 2019 - 08:39 PM,9.77,124.77,6,2.5,022 km N 84° E of Anda (Bohol),
27 December 2019 - 07:49 PM,9.53,124.21,15,2.4,009 km S 01° W of Valencia (Bohol),
27 December 2019 - 07:37 PM,9.64,124.92,8,2.4,040 km S 73° E of Anda (Bohol),
27 December 2019 - 06:54 PM,6.37,125.22,26,2.5,028 km S 28° W of Sulop (Davao Del Sur),
27 December 2019 - 06:37 PM,6.32,125.2,27,2.4,019 km N 55° E of Polomolok (South Cotabato),
27 December 2019 - 06:27 PM,4.81,127.87,71,3.7,274 km S 75° E of Sarangani (Davao Occidental),
27 December 2019 - 05:48 PM,6.46,125.2,23,2.1,022 km S 05° W of Kiblawan (Davao Del Sur),
27 December 2019 - 05:46 PM,8.9,126.76,10,3.2,051 km S 87° E of Cagwait (Surigao Del Sur),
27 December 2019 - 05:29 PM,9.39,126.36,22,2.7,022 km N 57° E of Cortes (Surigao Del Sur),
27 December 2019 - 05:24 PM,9.45,126.6,10,3.2,049 km N 67° E of Cortes (Surigao Del Sur),
27 December 2019 - 04:34 PM,3.18,127.37,185,4.3,326 km S 40° E of Sarangani (Davao Occidental),
27 December 2019 - 04:12 PM,6.94,126.16,13,3.3,013 km N 41° E of San Isidro (Davao Oriental),
27 December 2019 - 02:35 PM,19.23,121.46,45,2.5,006 km S 08° W of Calayan (Cagayan),
27 December 2019 - 01:14 PM,6.61,125.31,6,3,006 km S 59° W of Padada (Davao Del Sur),
27 December 2019 - 12:59 PM,14.97,122.64,5,2.6,041 km N 45° E of Jomalig (Quezon),
27 December 2019 - 12:54 PM,6.68,125.11,1,2.4,012 km N 74° W of Kiblawan (Davao Del Sur),
27 December 2019 - 08:37 AM,6.55,125.2,18,2.6,020 km S 12° W of Matanao (Davao Del Sur),
27 December 2019 - 07:45 AM,9.4,122.56,22,3.4,009 km S 80° W of Basay (Negros Oriental),
27 December 2019 - 07:23 AM,8.25,123.54,4,2.5,004 km N 08° E of Josefina (Zamboanga Del Sur),
27 December 2019 - 06:41 AM,6.72,125.14,8,3.5,008 km N 86° W of Magsaysay (Davao Del Sur),
27 December 2019 - 06:02 AM,6.3,125.15,25,2,012 km N 71° W of Malungon (Sarangani),
27 December 2019 - 05:58 AM,6.62,125.36,34,2.6,002 km S 03° W of Padada (Davao Del Sur),
27 December 2019 - 05:24 AM,14.5,123.67,27,4.3,074 km N 47° W of Pandan (Catanduanes),
27 December 2019 - 03:16 AM,9.76,124.78,8,2.6,036 km S 62° W of Limasawa (Southern Leyte),
27 December 2019 - 03:03 AM,6.88,125.06,14,3,010 km S 21° W of Makilala (Cotabato),
27 December 2019 - 02:56 AM,15.4,119.86,31,2.2,007 km S 52° W of Palauig (Zambales),
27 December 2019 - 02:36 AM,14.18,120.41,110,2.2,026 km N 64° W of Nasugbu (Batangas),
27 December 2019 - 02:28 AM,18.52,120.65,33,2.5,001 km N 31° E of Burgos (Ilocos Norte),
27 December 2019 - 02:23 AM,6.49,125.33,22,2.7,013 km S 09° W of Sulop (Davao Del Sur),
27 December 2019 - 02:13 AM,7.58,124.86,4,2.6,007 km S 80° W of Kadingilan (Bukidnon),
27 December 2019 - 02:06 AM,6.61,125.3,24,2.4,010 km S 61° E of Kiblawan (Davao Del Sur),
27 December 2019 - 01:51 AM,6.6,125.28,26,1.9,009 km S 52° E of Kiblawan (Davao Del Sur),
27 December 2019 - 01:34 AM,6.66,125.3,4,3.4,007 km N 66° W of Padada (Davao Del Sur),
27 December 2019 - 01:31 AM,6.53,125.17,11,3.4,015 km S 19° W of Kiblawan (Davao Del Sur),
27 December 2019 - 01:29 AM,6.57,125.17,10,3,010 km S 31° W of Kiblawan (Davao Del Sur),
27 December 2019 - 01:24 AM,6.6,125.18,10,3,007 km S 30° W of Kiblawan (Davao Del Sur),
27 December 2019 - 12:43 AM,6.62,125.3,28,2.5,010 km S 66° E of Kiblawan (Davao Del Sur),
27 December 2019 - 12:08 AM,6.83,124.84,27,2.4,003 km S 28° E of Tulunan (Cotabato),
27 December 2019 - 12:02 AM,6.43,125.13,28,2.5,022 km N 37° W of Malungon (Sarangani),
26 December 2019 - 11:58 PM,6.49,125.12,28,2.8,020 km S 72° E of Lutayan (Sultan Kudarat),
26 December 2019 - 11:25 PM,6.67,125.22,3,3.3,002 km N 24° E of Kiblawan (Davao Del Sur),
26 December 2019 - 11:12 PM,6.51,125.15,14,2.7,017 km S 23° W of Kiblawan (Davao Del Sur),
26 December 2019 - 10:59 PM,6.65,125.23,10,2.9,002 km S 57° E of Kiblawan (Davao Del Sur),
26 December 2019 - 09:49 PM,6.61,125.21,9,2.9,005 km S 09° W of Kiblawan (Davao Del Sur),
26 December 2019 - 09:38 PM,6.58,125.23,36,2,009 km S 11° E of Kiblawan (Davao Del Sur),
26 December 2019 - 08:56 PM,6.76,125.15,10,2.1,011 km N 73° W of Matanao (Davao Del Sur),
26 December 2019 - 08:40 PM,6.43,125.01,28,2.8,015 km S 26° E of Lutayan (Sultan Kudarat),
26 December 2019 - 08:19 PM,11.15,122.67,19,4.8,008 km N 17° E of San Enrique (Iloilo),
26 December 2019 - 06:45 PM,5.65,126.71,53,3,131 km S 32° E of Governor Generoso (Davao Oriental),
26 December 2019 - 04:08 PM,6.74,125.2,2,3.8,003 km N 26° W of Magsaysay (Davao Del Sur),
26 December 2019 - 03:35 PM,6.56,125.29,15,2.8,008 km S 55° W of Sulop (Davao Del Sur),
26 December 2019 - 03:13 PM,13.54,120.59,120,2.8,019 km N 55° W of Abra De Ilog (Occidental Mindoro),
26 December 2019 - 01:33 PM,6.61,125.25,12,3.2,007 km S 41° E of Kiblawan (Davao Del Sur),
26 December 2019 - 09:28 AM,6.58,125.03,27,2.3,009 km N 68° E of Lutayan (Sultan Kudarat),
26 December 2019 - 09:04 AM,10.07,126.15,25,3.1,010 km N 55° E of Burgos (Surigao Del Norte),
26 December 2019 - 08:47 AM,6.77,125.06,11,2.4,014 km S 74° E of Columbio (Sultan Kudarat),
26 December 2019 - 07:18 AM,6.59,124.77,32,2.5,006 km S 22° E of Tantangan (South Cotabato),
26 December 2019 - 06:00 AM,6.74,125.09,2,2.5,014 km S 69° W of Bansalan (Davao Del Sur),
26 December 2019 - 05:57 AM,6.74,125.09,7,2.1,014 km S 67° W of Bansalan (Davao Del Sur),
26 December 2019 - 05:08 AM,17.39,121.59,183,2.9,005 km S 09° W of Rizal (Liwan) (Kalinga),
26 December 2019 - 05:00 AM,18.64,120.73,18,2.3,010 km N 48° W of Pagudpud (Ilocos Norte),
26 December 2019 - 04:55 AM,6.55,125.08,20,2.3,014 km S 89° E of Lutayan (Sultan Kudarat),
26 December 2019 - 04:45 AM,5.22,126.07,71,3.9,070 km S 70° E of Sarangani (Davao Occidental),
26 December 2019 - 04:28 AM,6.72,125.25,52,2.5,017 km N 39° W of Sulop (Davao Del Sur),
26 December 2019 - 04:08 AM,6.48,125.26,31,2,020 km S 13° E of Kiblawan (Davao Del Sur),
26 December 2019 - 04:05 AM,10.21,126.36,6,2.6,038 km N 57° E of Burgos (Surigao Del Norte),
26 December 2019 - 03:50 AM,11.77,125.31,33,2.2,016 km N 85° W of San Julian (Eastern Samar),
26 December 2019 - 03:43 AM,7.63,124.91,37,2,004 km N 09° W of Kadingilan (Bukidnon),
26 December 2019 - 03:25 AM,6.83,125.06,16,2.7,015 km S 14° W of Makilala (Cotabato),
26 December 2019 - 03:18 AM,13.88,120.57,1,2.2,008 km N 47° W of Calatagan (Batangas),
26 December 2019 - 02:47 AM,9.64,122.66,23,2.8,019 km N 63° E of Hinoba-an (Negros Occidental),
26 December 2019 - 02:15 AM,6.61,125.24,24,2.8,006 km S 26° E of Kiblawan (Davao Del Sur),
26 December 2019 - 02:12 AM,4.98,126.58,16,3,133 km S 68° E of Sarangani (Davao Occidental),
26 December 2019 - 02:10 AM,6.54,125.58,1,2.7,012 km S 85° E of Santa Maria (Davao Occidental),
